Compound,0.02 V,0.1 V,0.5 V,1.0 V,5.0 V
10^4,-1.43007E-6,-6.66412E-7,1.42994E-7,-3.20564E-6,2.64469E-4
10^4,-1.43478E-6,-6.88671E-7,-1.17006E-8,-3.34871E-6,2.39202E-4
10^4,-1.44514E-6,-7.08559E-7,-2.08787E-8,-3.41154E-6,2.18124E-4
10^4,-1.44978E-6,-7.38596E-7,-2.85699E-7,-3.54761E-6,1.9274E-4
10^4,-1.44997E-6,-7.60023E-7,-3.39075E-7,-3.61716E-6,1.67777E-4
10^4,-1.45828E-6,-7.94969E-7,-3.40311E-7,-3.71668E-6,1.44675E-4
10^4,-1.46037E-6,-8.20196E-7,-4.16741E-7,-3.79586E-6,1.22686E-4
10^4,-1.47056E-6,-8.55839E-7,-5.39336E-7,-3.88515E-6,1.04493E-4
10^4,-1.47127E-6,-8.77008E-7,-6.74906E-7,-4.00619E-6,8.61315E-5
10^4,-1.48467E-6,-9.16843E-7,-8.23005E-7,-4.08555E-6,6.58951E-5
10^4,-1.48604E-6,-9.57652E-7,-6.74906E-7,-4.1719E-6,6.79935E-5
10^4,-1.49033E-6,-9.69941E-7,-8.23005E-7,-4.27298E-6,4.36106E-5
10^4,-1.49383E-6,-9.834E-7,-9.44689E-7,-4.33917E-6,-3.42761E-6
10^4,-1.49673E-6,-1.0211E-6,-9.93654E-7,-4.42921E-6,-6.22716E-5
10^4,-1.50888E-6,-1.06543E-6,-1.05E-6,-4.5015E-6,-1.07774E-4
10^4,-1.51006E-6,-1.08161E-6,-1.24593E-6,-4.57209E-6,-1.43401E-4
10^4,-1.51578E-6,-1.09599E-6,-1.29079E-6,-4.65262E-6,-1.63644E-4
10^4,-1.51653E-6,-1.11498E-6,-1.3175E-6,-4.71836E-6,-1.80155E-4
10^4,-1.51994E-6,-1.14764E-6,-1.39E-6,-4.79445E-6,-1.98755E-4
10^4,-1.52693E-6,-1.14764E-6,-1.39E-6,-4.86121E-6,-2.17405E-4
10^4,-1.53563E-6,-1.17019E-6,-1.44802E-6,-4.95167E-6,-2.38869E-4
10^4,-1.53889E-6,-1.1854E-6,-1.50488E-6,-5.01721E-6,-2.46157E-4
10^4,-1.54732E-6,-1.20532E-6,-1.60836E-6,-5.08991E-6,-2.37654E-4
10^4,-1.55118E-6,-1.22747E-6,-1.60836E-6,-5.17796E-6,-2.25754E-4
10^4,-1.56069E-6,-1.24923E-6,-1.64282E-6,-5.03582E-6,-1.62687E-4
10^4,-1.56447E-6,-1.24941E-6,-1.72498E-6,-5.21421E-6,-1.67074E-4
10^4,-1.56725E-6,-1.27014E-6,-1.79597E-6,-5.30474E-6,-1.74847E-4
10^4,-1.57197E-6,-1.30255E-6,-1.85301E-6,-5.39623E-6,-1.74169E-4
10^4,-1.57845E-6,-1.32423E-6,-1.93892E-6,-5.46745E-6,-1.6777E-4
10^4,-1.58117E-6,-1.34877E-6,-2.00856E-6,-5.54899E-6,-1.5721E-4
10^4,-1.58347E-6,-1.37176E-6,-2.05756E-6,-5.62798E-6,-1.57458E-4
